ICAO,FAA,GHCN
KONP,ONP,USW00024285
PAGS,GST,USW00025322
PAKT,KTN,USW00025325
PAGY,SGY,USW00025335
PAWG,WRG,USC00509919
KEET,EET,USW00053864
KMSL,MSL,USW00013896
KTCL,TCL,USW00093806
KIGM,IGM,USW00093167
KAVX,AVX,USW00023191
KDAG,DAG,USW00023161
KFAT,FAT,USW00093193
KEED,EED,USW00023179
KRBL,RBL,USW00024216
KRDD,RDD,USW00024257
KSEE,SEE,USC00043410
KSAN,SAN,USW00023188
KSFO,SFO,USW00023234
KSVE,SVE,USC00048702
KDRO,DRO,USW00093005
KGJT,GJT,USW00023066
KMTJ,MTJ,USW00093013
KRIL,RIL,USW00003016
KLIC,LIC,USW00093010
KHVN,HVN,USW00014758
KILG,ILG,USW00013781
KAAF,AAF,USC00080211
KCEW,CEW,USW00013884
KFMY,FMY,USW00012835
KEYW,EYW,USW00012836
KPNS,PNS,USW00013899
KTLH,TLH,USW00093805
KVRB,VRB,USW00012843
KFFC,FFC,USW00053819
KSAV,SAV,USW00003822
KAYS,AYS,USW00013861
KIOW,IOW,USW00014937
KCOE,COE,USW00024136
KGNG,GNG,USW00024142
KSUN,SUN,USC00103942
KLWS,LWS,USW00024149
KSMN,SMN,USC00108076
KORD,ORD,USW00094846
KMVN,MVN,USC00115943
KRSL,RSL,USW00093997
KSLN,SLN,USW00003919
KICT,ICT,USW00003928
KSDF,SDF,USW00093821
KAQW,AQW,USW00054768
KNHZ,NHZ,USW00014611
KDET,DET,USW00014822
KJXN,JXN,USW00014833
KLAN,LAN,USW00014836
KMQT,MQT,USW00094850
KMKG,MKG,USW00014840
KMBS,MBS,USW00014845
KSTJ,STJ,USW00013993
KSGF,SGF,USW00013995
KJAN,JAN,USW00003940
KHKY,HKY,USW00003810
KFAR,FAR,USW00014914
KJMS,JMS,USW00014919
KISN,ISN,USW00094014
KBUB,BUB,USC00251345
KFNB,FNB,USW00094957
KHSI,HSI,USW00094949
KCNM,CNM,USW00093033
KGUP,GUP,USW00023081
KZUN,ZUN,USW00093044
KEKO,EKO,USW00024121
KELY,ELY,USW00023154
KDSV,DSV,USW00094704
KPOU,POU,USW00014757
KSYR,SYR,USW00014771
KILN,ILN,USW00013841
KFDR,FDR,USW00003981
KOKC,OKC,USW00013967
KBFD,BFD,USW00004751
KPHL,PHL,USW00013739
TJMZ,MAZ,RQC00666083
KGMU,GMU,USC00383735
KDAL,DAL,USW00013960
KGGG,GGG,USW00003901
KVEL,VEL,USC00429111
TISX,STX,VQW00011624
KBTV,BTV,USW00014742
KEPH,EPH,USW00024141
KBLF,BLF,USW00003859
KHTS,HTS,USW00003860
KMRB,MRB,USW00013734
KLND,LND,USW00024021
KDEN,DEN,USW00003017
CHIN,LEE,USC00021634
KPKF,PKF,USC00476398
KEKA,EKA,USW00024213
KFCL,FCL,USC00053005
PALV,LVR,USC00500788
KMLD,MLD,USW00024151
KRIL,RIL,USC00057031
KSEW,SEW,USW00094290
KBAM,BAM,USW00024119
HALF,WAY,USC00233551
KMOB,MOB,USW00013894
KDHN,DHN,USW00093843
KDHN,DHN,USW00013839
KMGM,MGM,USW00013895
KANB,ANB,USW00013871
KBHM,BHM,USW00013876
KHSV,HSV,USW00003856
KELD,ELD,USW00093992
KTXK,TXK,USW00013977
KPBF,PBF,USW00093988
KHOT,HOT,USW00003962
KLIT,LIT,USW00013963
KLZK,LZK,USW00003952
KFSM,FSM,USW00013964
KFYV,FYV,USW00093993
KARG,ARG,USW00093991
KHRO,HRO,USW00013971
KDUG,DUG,USW00093026
KFHU,FHU,USW00003124
KTUS,TUS,USW00023160
YUMA,WSO,USW00023195
KYUM,YUM,USW00023195
KNYL,NYL,USW00003145
YUMA,SIG,USW00003125
KGBN,GBN,USW00023168
KPHX,PHX,USW00023183
KSOW,SOW,USC00027855
SHOW,LOW,USC00027849
KINW,INW,USW00023194
KFLG,FLG,USW00003103
TEEC,NOS,USC00028468
SHOW,LOW,USC00027855
KNSI,NSI,USW00093116
KBLH,BLH,USW00023158
KTRM,TRM,USW00003104
KLGB,LGB,USW00023129
KBUO,BUO,USW00023156
KLAX,LAX,USW00023174
KSBA,SBA,USW00023190
KWJF,WJF,USW00003159
KSDB,SDB,USW00023187
KSMX,SMX,USW00023273
KBFL,BFL,USW00023155
KNID,NID,USW00093104
